Source Copybook,Source Record,Source Field Name,COBOL PIC Clause,Source Data Type,Source Length (bytes),Target Postgres Table,Target Column Name,Postgres Data Type,Transformation Notes,Nullable,Transformation Type,Transformation Rule,Default/Fallback Value,Validation Rules
CVACT01Y.cpy,ACCOUNT-RECORD,ACCT-GROUP-ID,PIC X(10),Alphanumeric,10,accounts,group_id,VARCHAR(10),Trim trailing spaces; FK to disclosure_groups,No,Direct Copy + Trim,TRIM(TRAILING ' ' FROM source_value),None - reject record if missing,NOT NULL; LENGTH(value) > 0; FK reference must exist in disclosure_groups.acct_group_id
CVACT01Y.cpy,ACCOUNT-RECORD,FILLER,PIC X(178),Filler,178,accounts,N/A,N/A,Not migrated - padding to RECLN 300,N/A,Skip (FILLER),Discard; COBOL FILLER padding bytes used for fixed-length record alignment to RECLN 300. No data content.,N/A,N/A - verify total record length equals 300 bytes during extract validation
CVCUS01Y.cpy,CUSTOMER-RECORD,CUST-ID,PIC 9(09),Numeric (unsigned),9,customers,cust_id,INTEGER,Primary key; strip leading zeros,No,Type Conversion,CAST(TRIM(LEADING '0' FROM source_value) AS INTEGER); zoned decimal 9(09) display digits to 32-bit integer,None - reject record if missing,NOT NULL; must be > 0; UNIQUE; CHECK(cust_id > 0); reject if non-numeric characters found
CVCUS01Y.cpy,CUSTOMER-RECORD,CUST-FIRST-NAME,PIC X(25),Alphanumeric,25,customers,first_name,VARCHAR(25),Trim trailing spaces,No,Direct Copy + Trim,TRIM(TRAILING ' ' FROM source_value); if source is EBCDIC apply EBCDIC-to-ASCII codepage conversion (IBM-1047 to UTF-8) before trimming,None - reject record if missing,NOT NULL; LENGTH(value) > 0; LENGTH(value) <= 25; reject if all spaces
CVCUS01Y.cpy,CUSTOMER-RECORD,CUST-MIDDLE-NAME,PIC X(25),Alphanumeric,25,customers,middle_name,VARCHAR(25),Trim trailing spaces; null if blank,Yes,Direct Copy + Trim,TRIM(TRAILING ' ' FROM source_value); set NULL if result is empty string; EBCDIC-to-ASCII codepage conversion if needed,NULL,LENGTH(value) <= 25 when not null
CVCUS01Y.cpy,CUSTOMER-RECORD,CUST-LAST-NAME,PIC X(25),Alphanumeric,25,customers,last_name,VARCHAR(25),Trim trailing spaces,No,Direct Copy + Trim,TRIM(TRAILING ' ' FROM source_value); EBCDIC-to-ASCII codepage conversion if needed,None - reject record if missing,NOT NULL; LENGTH(value) > 0; LENGTH(value) <= 25; reject if all spaces
CVCUS01Y.cpy,CUSTOMER-RECORD,CUST-ADDR-LINE-1,PIC X(50),Alphanumeric,50,customers,addr_line_1,VARCHAR(50),Trim trailing spaces,No,Direct Copy + Trim,TRIM(TRAILING ' ' FROM source_value); EBCDIC-to-ASCII codepage conversion if needed,None - reject record if missing,NOT NULL; LENGTH(value) > 0; LENGTH(value) <= 50
CVCUS01Y.cpy,CUSTOMER-RECORD,CUST-ADDR-LINE-2,PIC X(50),Alphanumeric,50,customers,addr_line_2,VARCHAR(50),Trim trailing spaces; null if blank,Yes,Direct Copy + Trim,TRIM(TRAILING ' ' FROM source_value); set NULL if result is empty string,NULL,LENGTH(value) <= 50 when not null
CVCUS01Y.cpy,CUSTOMER-RECORD,CUST-ADDR-LINE-3,PIC X(50),Alphanumeric,50,customers,addr_line_3,VARCHAR(50),Trim trailing spaces; null if blank,Yes,Direct Copy + Trim,TRIM(TRAILING ' ' FROM source_value); set NULL if result is empty string,NULL,LENGTH(value) <= 50 when not null
CVCUS01Y.cpy,CUSTOMER-RECORD,CUST-ADDR-STATE-CD,PIC X(02),Alphanumeric,2,customers,addr_state_cd,CHAR(2),Direct mapping; validate against US state codes,No,Direct Copy,Direct 1:1 copy; TRIM trailing spaces; preserve 2-character state code,None - reject record if missing,NOT NULL; must be valid 2-letter US state/territory code (e.g. AL AK ... WY DC PR GU); CHECK against reference list
CVCUS01Y.cpy,CUSTOMER-RECORD,CUST-ADDR-COUNTRY-CD,PIC X(03),Alphanumeric,3,customers,addr_country_cd,CHAR(3),Direct mapping; ISO 3166-1 alpha-3 format,No,Direct Copy,Direct 1:1 copy; TRIM trailing spaces; preserve 3-character country code,'USA',NOT NULL; must be valid ISO 3166-1 alpha-3 code; CHECK against reference list
CVCUS01Y.cpy,CUSTOMER-RECORD,CUST-ADDR-ZIP,PIC X(10),Alphanumeric,10,customers,addr_zip,VARCHAR(10),Trim trailing spaces; supports ZIP+4 format,No,Direct Copy + Trim,TRIM(TRAILING ' ' FROM source_value),None - reject record if missing,NOT NULL; LENGTH(value) BETWEEN 5 AND 10; must match '^\d{5}(-\d{4})?$' for US addresses
CVCUS01Y.cpy,CUSTOMER-RECORD,CUST-PHONE-NUM-1,PIC X(15),Alphanumeric,15,customers,phone_num_1,VARCHAR(15),Trim trailing spaces; format: (NNN)NNN-NNNN,Yes,Direct Copy + Trim,TRIM(TRAILING ' ' FROM source_value); set NULL if result is empty string; preserve existing format including parentheses and hyphens,NULL,Must match pattern '^\(\d{3}\)\d{3}-\d{4}$' when not null; LENGTH(value) <= 15
CVCUS01Y.cpy,CUSTOMER-RECORD,CUST-PHONE-NUM-2,PIC X(15),Alphanumeric,15,customers,phone_num_2,VARCHAR(15),Trim trailing spaces; format: (NNN)NNN-NNNN; null if blank,Yes,Direct Copy + Trim,TRIM(TRAILING ' ' FROM source_value); set NULL if result is empty string; preserve existing format,NULL,Must match pattern '^\(\d{3}\)\d{3}-\d{4}$' when not null; LENGTH(value) <= 15
CVCUS01Y.cpy,CUSTOMER-RECORD,CUST-SSN,PIC 9(09),Numeric (unsigned),9,customers,ssn,VARCHAR(11),Convert numeric 9(09) to formatted NNN-NN-NNNN or store as encrypted; sensitive PII,No,Type Conversion + Format,"Extract 9 zoned decimal digits; reformat as NNN-NN-NNNN: CONCAT(SUBSTR(val,1,3), '-', SUBSTR(val,4,2), '-', SUBSTR(val,6,4)). Alternatively apply pgcrypto encryption: pgp_sym_encrypt(formatted_ssn, key)",None - reject record if missing,NOT NULL; source must be exactly 9 numeric digits; formatted result must match '^\d{3}-\d{2}-\d{4}$'; first 3 digits must not be 000 or 666 or 900-999 per SSA rules
CVCUS01Y.cpy,CUSTOMER-RECORD,CUST-GOVT-ISSUED-ID,PIC X(20),Alphanumeric,20,customers,govt_issued_id,VARCHAR(20),Trim trailing spaces; sensitive PII,Yes,Direct Copy + Trim,TRIM(TRAILING ' ' FROM source_value); set NULL if result is empty string; consider pgcrypto encryption for PII at rest,NULL,LENGTH(value) <= 20 when not null
CVCUS01Y.cpy,CUSTOMER-RECORD,CUST-DOB-YYYY-MM-DD,PIC X(10),Alphanumeric date,10,customers,dob,DATE,Parse YYYY-MM-DD string to DATE,No,Type Conversion,"TO_DATE(TRIM(source_value), 'YYYY-MM-DD'); validate date is real calendar date. Note: CUSTREC.cpy uses alternate field name CUST-DOB-YYYYMMDD (same data layout via COBOL REDEFINES-style naming variation)",None - reject record if missing,NOT NULL; valid calendar date; date must be < CURRENT_DATE; date must be > '1900-01-01'; age derived must be >= 18 for card holder
CVCUS01Y.cpy,CUSTOMER-RECORD,CUST-EFT-ACCOUNT-ID,PIC X(10),Alphanumeric,10,customers,eft_account_id,VARCHAR(10),Trim trailing spaces; external account reference,Yes,Direct Copy + Trim,TRIM(TRAILING ' ' FROM source_value); set NULL if result is empty string,NULL,LENGTH(value) <= 10 when not null; alphanumeric characters only
CVCUS01Y.cpy,CUSTOMER-RECORD,CUST-PRI-CARD-HOLDER-IND,PIC X(01),Alphanumeric,1,customers,pri_card_holder_ind,BOOLEAN,Map 'Y' to TRUE / 'N' to FALSE,No,Type Conversion + Value Map,Map single character to boolean: CASE source_value WHEN 'Y' THEN TRUE WHEN 'N' THEN FALSE END,TRUE,NOT NULL; source must be 'Y' or 'N'; reject if any other value
CVCUS01Y.cpy,CUSTOMER-RECORD,CUST-FICO-CREDIT-SCORE,PIC 9(03),Numeric (unsigned),3,customers,fico_credit_score,SMALLINT,Direct numeric conversion; valid range 300-850,Yes,Type Conversion,CAST(source_value AS SMALLINT); zoned decimal 9(03) display digits to integer; set NULL if source is all zeros (000 indicates not scored),NULL,Value BETWEEN 300 AND 850 when not null and not zero; log warning if outside typical range; set NULL if value = 0
CVCUS01Y.cpy,CUSTOMER-RECORD,FILLER,PIC X(168),Filler,168,customers,N/A,N/A,Not migrated - padding to RECLN 500,N/A,Skip (FILLER),Discard; COBOL FILLER padding bytes used for fixed-length record alignment to RECLN 500. No data content.,N/A,N/A - verify total record length equals 500 bytes during extract validation
CVACT02Y.cpy,CARD-RECORD,CARD-NUM,PIC X(16),Alphanumeric,16,cards,card_num,VARCHAR(16),Primary key; preserve leading zeros; sensitive PII,No,Direct Copy,Direct 1:1 copy; preserve all 16 characters including leading zeros; DO NOT strip leading zeros (card numbers are identifiers not quantities); EBCDIC-to-ASCII codepage conversion if needed,None - reject record if missing,NOT NULL; UNIQUE; LENGTH(value) = 16; must be all numeric digits; optionally validate Luhn checksum
CVACT02Y.cpy,CARD-RECORD,CARD-ACCT-ID,PIC 9(11),Numeric (unsigned),11,cards,acct_id,BIGINT,FK to accounts.acct_id; strip leading zeros,No,Type Conversion,CAST(TRIM(LEADING '0' FROM source_value) AS BIGINT); zoned decimal 9(11) to 64-bit integer,None - reject record if missing,NOT NULL; must be > 0; FK must exist in accounts.acct_id
CVACT02Y.cpy,CARD-RECORD,CARD-CVV-CD,PIC 9(03),Numeric (unsigned),3,cards,cvv_cd,SMALLINT,Convert to integer; consider encrypting - sensitive data,No,Type Conversion,CAST(source_value AS SMALLINT); zoned decimal 9(03) to integer; consider pgcrypto encryption for storage,None - reject record if missing,NOT NULL; value BETWEEN 0 AND 999; LENGTH(source) = 3; must be all numeric digits
CVACT02Y.cpy,CARD-RECORD,CARD-EMBOSSED-NAME,PIC X(50),Alphanumeric,50,cards,embossed_name,VARCHAR(50),Trim trailing spaces,No,Direct Copy + Trim,TRIM(TRAILING ' ' FROM source_value); EBCDIC-to-ASCII codepage conversion if needed,None - reject record if missing,NOT NULL; LENGTH(value) > 0; LENGTH(value) <= 50; reject if all spaces
CVACT02Y.cpy,CARD-RECORD,CARD-EXPIRAION-DATE,PIC X(10),Alphanumeric date,10,cards,expiration_date,DATE,Parse YYYY-MM-DD string to DATE,No,Type Conversion,"TO_DATE(TRIM(source_value), 'YYYY-MM-DD'); validate date is real calendar date",None - reject record if missing,NOT NULL; valid calendar date; format must be YYYY-MM-DD
CVACT02Y.cpy,CARD-RECORD,CARD-ACTIVE-STATUS,PIC X(01),Alphanumeric,1,cards,active_status,CHAR(1),Map 'Y'/'N' to active/inactive flag,No,Direct Copy,Direct 1:1 copy; TRIM trailing spaces; preserve single character value,'Y',"NOT NULL; CHECK(active_status IN ('Y','N')); reject if value not in allowed set"
CVACT02Y.cpy,CARD-RECORD,FILLER,PIC X(59),Filler,59,cards,N/A,N/A,Not migrated - padding to RECLN 150,N/A,Skip (FILLER),Discard; COBOL FILLER padding bytes used for fixed-length record alignment to RECLN 150. No data content.,N/A,N/A - verify total record length equals 150 bytes during extract validation
CVACT03Y.cpy,CARD-XREF-RECORD,XREF-CARD-NUM,PIC X(16),Alphanumeric,16,card_xref,card_num,VARCHAR(16),Composite PK part 1; FK to cards.card_num,No,Direct Copy,Direct 1:1 copy; preserve all 16 characters including leading zeros; treat as string identifier,None - reject record if missing,NOT NULL; LENGTH(value) = 16; must be all numeric digits; FK must exist in cards.card_num
CVACT03Y.cpy,CARD-XREF-RECORD,XREF-CUST-ID,PIC 9(09),Numeric (unsigned),9,card_xref,cust_id,INTEGER,FK to customers.cust_id; strip leading zeros,No,Type Conversion,CAST(TRIM(LEADING '0' FROM source_value) AS INTEGER); zoned decimal 9(09) to 32-bit integer,None - reject record if missing,NOT NULL; must be > 0; FK must exist in customers.cust_id
CVACT03Y.cpy,CARD-XREF-RECORD,XREF-ACCT-ID,PIC 9(11),Numeric (unsigned),11,card_xref,acct_id,BIGINT,FK to accounts.acct_id; strip leading zeros,No,Type Conversion,CAST(TRIM(LEADING '0' FROM source_value) AS BIGINT); zoned decimal 9(11) to 64-bit integer,None - reject record if missing,NOT NULL; must be > 0; FK must exist in accounts.acct_id
CVACT03Y.cpy,CARD-XREF-RECORD,FILLER,PIC X(14),Filler,14,card_xref,N/A,N/A,Not migrated - padding to RECLN 50,N/A,Skip (FILLER),Discard; COBOL FILLER padding bytes used for fixed-length record alignment to RECLN 50. No data content.,N/A,N/A - verify total record length equals 50 bytes during extract validation
CVTRA05Y.cpy,TRAN-RECORD,TRAN-ID,PIC X(16),Alphanumeric,16,transactions,tran_id,VARCHAR(16),Primary key; unique transaction identifier,No,Direct Copy,Direct 1:1 copy; preserve all 16 characters; zero-padded left-aligned identifier; EBCDIC-to-ASCII codepage conversion if needed,None - reject record if missing,NOT NULL; UNIQUE; LENGTH(value) = 16; must be all numeric digits
CVTRA05Y.cpy,TRAN-RECORD,TRAN-TYPE-CD,PIC X(02),Alphanumeric,2,transactions,type_cd,CHAR(2),FK to transaction_types.type_cd,No,Direct Copy,Direct 1:1 copy; preserve 2-character code,None - reject record if missing,"NOT NULL; FK must exist in transaction_types.type_cd; CHECK(type_cd IN ('01','02','03','04','05'))"
CVTRA05Y.cpy,TRAN-RECORD,TRAN-CAT-CD,PIC 9(04),Numeric (unsigned),4,transactions,cat_cd,SMALLINT,FK to transaction_categories composite key (type_cd + cat_cd),No,Type Conversion,CAST(source_value AS SMALLINT); zoned decimal 9(04) to integer,None - reject record if missing,"NOT NULL; value BETWEEN 1 AND 9999; composite FK (type_cd, cat_cd) must exist in transaction_categories"
CVTRA05Y.cpy,TRAN-RECORD,TRAN-SOURCE,PIC X(10),Alphanumeric,10,transactions,source,VARCHAR(10),Trim trailing spaces; e.g. POS TERM / OPERATOR,No,Direct Copy + Trim,TRIM(TRAILING ' ' FROM source_value),None - reject record if missing,NOT NULL; LENGTH(value) > 0; expected values include 'POS TERM' and 'OPERATOR' and 'ONLINE'
CVTRA05Y.cpy,TRAN-RECORD,TRAN-DESC,PIC X(100),Alphanumeric,100,transactions,description,VARCHAR(100),Trim trailing spaces,Yes,Direct Copy + Trim,TRIM(TRAILING ' ' FROM source_value); set NULL if result is empty string; EBCDIC-to-ASCII codepage conversion if needed,NULL,LENGTH(value) <= 100 when not null
CVTRA05Y.cpy,TRAN-RECORD,TRAN-AMT,PIC S9(09)V99,Signed decimal (implied V),11,transactions,amount,"NUMERIC(11,2)","Convert EBCDIC sign-overpunch trailing byte (e.g. letters A-I = +1..+9, J-R = -1..-9, '{' = +0, '}' = -0)",No,Type Conversion + Sign Decode,"EBCDIC sign-overpunch: last byte encodes sign and digit. Decode map: '{' -> +0, 'A' -> +1, 'B' -> +2, ... 'I' -> +9, '}' -> -0, 'J' -> -1, 'K' -> -2, ... 'R' -> -9. Replace trailing char with decoded digit, apply sign, insert decimal before last 2 digits. Example: '0000005047G' -> trailing 'G' = +7 -> '00000050477' -> positive -> 000000504.77. SQL: CAST(decoded_string AS NUMERIC(11,2))",0.00,"NOT NULL; NUMERIC(11,2) range check; ABS(value) <= 999999999.99; reject if trailing byte is not a valid overpunch character"
CVTRA05Y.cpy,TRAN-RECORD,TRAN-MERCHANT-ID,PIC 9(09),Numeric (unsigned),9,transactions,merchant_id,INTEGER,Strip leading zeros,No,Type Conversion,CAST(TRIM(LEADING '0' FROM source_value) AS INTEGER); zoned decimal 9(09) to 32-bit integer,0,NOT NULL; value >= 0; must be numeric
CVTRA05Y.cpy,TRAN-RECORD,TRAN-MERCHANT-NAME,PIC X(50),Alphanumeric,50,transactions,merchant_name,VARCHAR(50),Trim trailing spaces,Yes,Direct Copy + Trim,TRIM(TRAILING ' ' FROM source_value); set NULL if result is empty string; EBCDIC-to-ASCII codepage conversion if needed,NULL,LENGTH(value) <= 50 when not null
CVTRA05Y.cpy,TRAN-RECORD,TRAN-MERCHANT-CITY,PIC X(50),Alphanumeric,50,transactions,merchant_city,VARCHAR(50),Trim trailing spaces,Yes,Direct Copy + Trim,TRIM(TRAILING ' ' FROM source_value); set NULL if result is empty string,NULL,LENGTH(value) <= 50 when not null
CVTRA05Y.cpy,TRAN-RECORD,TRAN-MERCHANT-ZIP,PIC X(10),Alphanumeric,10,transactions,merchant_zip,VARCHAR(10),Trim trailing spaces,Yes,Direct Copy + Trim,TRIM(TRAILING ' ' FROM source_value); set NULL if result is empty string,NULL,LENGTH(value) BETWEEN 5 AND 10 when not null; should match ZIP pattern for US addresses
CVTRA05Y.cpy,TRAN-RECORD,TRAN-CARD-NUM,PIC X(16),Alphanumeric,16,transactions,card_num,VARCHAR(16),FK to cards.card_num,No,Direct Copy,Direct 1:1 copy; preserve all 16 characters including leading zeros,None - reject record if missing,NOT NULL; LENGTH(value) = 16; must be all numeric digits; FK must exist in cards.card_num
CVTRA05Y.cpy,TRAN-RECORD,TRAN-ORIG-TS,PIC X(26),Alphanumeric timestamp,26,transactions,orig_ts,TIMESTAMP,Parse 'YYYY-MM-DD HH:MM:SS.ffffff' to TIMESTAMP,No,Type Conversion,"TO_TIMESTAMP(TRIM(source_value), 'YYYY-MM-DD HH24:MI:SS.US'); 26-char COBOL string to Postgres TIMESTAMP WITHOUT TIME ZONE",None - reject record if missing,NOT NULL; valid timestamp; must match format 'YYYY-MM-DD HH:MI:SS.ffffff'; year must be >= 2000
CVTRA05Y.cpy,TRAN-RECORD,TRAN-PROC-TS,PIC X(26),Alphanumeric timestamp,26,transactions,proc_ts,TIMESTAMP,Parse 'YYYY-MM-DD HH:MM:SS.ffffff' to TIMESTAMP; null if not yet processed,Yes,Type Conversion,"TO_TIMESTAMP(TRIM(source_value), 'YYYY-MM-DD HH24:MI:SS.US'); set NULL if source is all spaces or all zeros",NULL,Valid timestamp when not null; must be >= orig_ts when both present; must match format 'YYYY-MM-DD HH:MI:SS.ffffff'
CVTRA05Y.cpy,TRAN-RECORD,FILLER,PIC X(20),Filler,20,transactions,N/A,N/A,Not migrated - padding to RECLN 350,N/A,Skip (FILLER),Discard; COBOL FILLER padding bytes used for fixed-length record alignment to RECLN 350. No data content.,N/A,N/A - verify total record length equals 350 bytes during extract validation
CVTRA06Y.cpy,DALYTRAN-RECORD,DALYTRAN-ID,PIC X(16),Alphanumeric,16,daily_transactions,tran_id,VARCHAR(16),Primary key; maps to same structure as TRAN-RECORD,No,Direct Copy,Direct 1:1 copy; preserve all 16 characters; same layout as CVTRA05Y.cpy TRAN-ID; zero-padded identifier,None - reject record if missing,NOT NULL; UNIQUE; LENGTH(value) = 16; must be all numeric digits
CVTRA06Y.cpy,DALYTRAN-RECORD,DALYTRAN-TYPE-CD,PIC X(02),Alphanumeric,2,daily_transactions,type_cd,CHAR(2),FK to transaction_types.type_cd,No,Direct Copy,Direct 1:1 copy; preserve 2-character code; same transformation as TRAN-TYPE-CD,None - reject record if missing,NOT NULL; FK must exist in transaction_types.type_cd
CVTRA06Y.cpy,DALYTRAN-RECORD,DALYTRAN-CAT-CD,PIC 9(04),Numeric (unsigned),4,daily_transactions,cat_cd,SMALLINT,FK to transaction_categories composite key,No,Type Conversion,CAST(source_value AS SMALLINT); zoned decimal 9(04) to integer; same transformation as TRAN-CAT-CD,None - reject record if missing,"NOT NULL; value BETWEEN 1 AND 9999; composite FK (type_cd, cat_cd) must exist in transaction_categories"
CVTRA06Y.cpy,DALYTRAN-RECORD,DALYTRAN-SOURCE,PIC X(10),Alphanumeric,10,daily_transactions,source,VARCHAR(10),Trim trailing spaces,No,Direct Copy + Trim,TRIM(TRAILING ' ' FROM source_value); same transformation as TRAN-SOURCE,None - reject record if missing,NOT NULL; LENGTH(value) > 0
CVTRA06Y.cpy,DALYTRAN-RECORD,DALYTRAN-DESC,PIC X(100),Alphanumeric,100,daily_transactions,description,VARCHAR(100),Trim trailing spaces,Yes,Direct Copy + Trim,TRIM(TRAILING ' ' FROM source_value); set NULL if result is empty string,NULL,LENGTH(value) <= 100 when not null
CVTRA06Y.cpy,DALYTRAN-RECORD,DALYTRAN-AMT,PIC S9(09)V99,Signed decimal (implied V),11,daily_transactions,amount,"NUMERIC(11,2)",Convert EBCDIC sign-overpunch trailing byte,No,Type Conversion + Sign Decode,"EBCDIC sign-overpunch: decode trailing byte per overpunch table (same as TRAN-AMT). '{' -> +0, 'A'-'I' -> +1..+9, '}' -> -0, 'J'-'R' -> -1..-9. Insert decimal before last 2 digits. CAST AS NUMERIC(11,2)",0.00,"NOT NULL; NUMERIC(11,2) range check; ABS(value) <= 999999999.99; reject if trailing byte is not valid overpunch char"
CVTRA06Y.cpy,DALYTRAN-RECORD,DALYTRAN-MERCHANT-ID,PIC 9(09),Numeric (unsigned),9,daily_transactions,merchant_id,INTEGER,Strip leading zeros,No,Type Conversion,CAST(TRIM(LEADING '0' FROM source_value) AS INTEGER); zoned decimal 9(09) to 32-bit integer,0,NOT NULL; value >= 0; must be numeric
CVTRA06Y.cpy,DALYTRAN-RECORD,DALYTRAN-MERCHANT-NAME,PIC X(50),Alphanumeric,50,daily_transactions,merchant_name,VARCHAR(50),Trim trailing spaces,Yes,Direct Copy + Trim,TRIM(TRAILING ' ' FROM source_value); set NULL if result is empty string,NULL,LENGTH(value) <= 50 when not null
CVTRA06Y.cpy,DALYTRAN-RECORD,DALYTRAN-MERCHANT-CITY,PIC X(50),Alphanumeric,50,daily_transactions,merchant_city,VARCHAR(50),Trim trailing spaces,Yes,Direct Copy + Trim,TRIM(TRAILING ' ' FROM source_value); set NULL if result is empty string,NULL,LENGTH(value) <= 50 when not null
CVTRA06Y.cpy,DALYTRAN-RECORD,DALYTRAN-MERCHANT-ZIP,PIC X(10),Alphanumeric,10,daily_transactions,merchant_zip,VARCHAR(10),Trim trailing spaces,Yes,Direct Copy + Trim,TRIM(TRAILING ' ' FROM source_value); set NULL if result is empty string,NULL,LENGTH(value) BETWEEN 5 AND 10 when not null
CVTRA06Y.cpy,DALYTRAN-RECORD,DALYTRAN-CARD-NUM,PIC X(16),Alphanumeric,16,daily_transactions,card_num,VARCHAR(16),FK to cards.card_num,No,Direct Copy,Direct 1:1 copy; preserve all 16 characters including leading zeros,None - reject record if missing,NOT NULL; LENGTH(value) = 16; must be all numeric digits; FK must exist in cards.card_num
